cur_x 	 cur_y 	 cur_yaw 	 line_x 	 line_y 	 line_yaw 	 l_speed 	 r_speed 
-5.410580 	 146.990853 	 -1.288922 	 -5.176005 	 147.060886 	 -1.280669 	 0.012184 	 0.012816 
-5.410793 	 146.989463 	 -1.288650 	 -5.175642 	 147.059668 	 -1.280669 	 0.024367 	 0.025633 
-5.404222 	 146.983755 	 -1.288852 	 -5.173539 	 147.052626 	 -1.280669 	 0.036567 	 0.038433 
-5.402947 	 146.985442 	 -1.287983 	 -5.173897 	 147.053825 	 -1.280669 	 0.048768 	 0.051232 
-5.406049 	 146.984904 	 -1.288601 	 -5.174004 	 147.054182 	 -1.280669 	 0.060937 	 0.064063 
-5.403556 	 146.980141 	 -1.291203 	 -5.172494 	 147.049125 	 -1.280669 	 0.073112 	 0.076888 
-5.408343 	 146.970300 	 -1.288706 	 -5.170188 	 147.041402 	 -1.280669 	 0.085255 	 0.089745 
-5.409263 	 146.965000 	 -1.286997 	 -5.168811 	 147.036788 	 -1.280669 	 0.097427 	 0.102573 
-5.406714 	 146.946097 	 -1.286644 	 -5.163420 	 147.018733 	 -1.280669 	 0.109576 	 0.115424 
-5.395554 	 146.938128 	 -1.289994 	 -5.160323 	 147.008357 	 -1.280669 	 0.121815 	 0.128185 
-5.393869 	 146.927175 	 -1.283044 	 -5.157182 	 146.997839 	 -1.280669 	 0.134071 	 0.140929 
-5.390371 	 146.915778 	 -1.293163 	 -5.153772 	 146.986415 	 -1.280669 	 0.146109 	 0.153891 
-5.388743 	 146.905882 	 -1.289341 	 -5.150926 	 146.976882 	 -1.280669 	 0.158326 	 0.166674 
-5.387015 	 146.888016 	 -1.294336 	 -5.145887 	 146.960005 	 -1.280669 	 0.170357 	 0.179643 
-5.384975 	 146.870966 	 -1.291221 	 -5.141047 	 146.943792 	 -1.280669 	 0.182529 	 0.192471 
-5.374368 	 146.858327 	 -1.295701 	 -5.136714 	 146.929279 	 -1.280669 	 0.194739 	 0.205261 
-5.371111 	 146.844261 	 -1.291200 	 -5.132591 	 146.915471 	 -1.280669 	 0.206987 	 0.218013 
-5.367358 	 146.818964 	 -1.294139 	 -5.125350 	 146.891216 	 -1.280669 	 0.219014 	 0.230986 
-5.360121 	 146.798171 	 -1.292442 	 -5.119058 	 146.870141 	 -1.280669 	 0.231245 	 0.243755 
-5.350406 	 146.776043 	 -1.287973 	 -5.112197 	 146.847161 	 -1.280669 	 0.243602 	 0.256398 
-5.341583 	 146.754656 	 -1.286852 	 -5.105613 	 146.825106 	 -1.280669 	 0.255873 	 0.269127 
-5.340039 	 146.732343 	 -1.286432 	 -5.099370 	 146.804196 	 -1.280669 	 0.267934 	 0.282066 
-5.335593 	 146.699800 	 -1.284910 	 -5.090085 	 146.773097 	 -1.280669 	 0.280012 	 0.294988 
-5.330834 	 146.671965 	 -1.280649 	 -5.082066 	 146.746235 	 -1.280669 	 0.292212 	 0.307788 
-5.330253 	 146.639329 	 -1.283053 	 -5.073072 	 146.716111 	 -1.280669 	 0.304038 	 0.320962 
-5.313471 	 146.611252 	 -1.284793 	 -5.064002 	 146.685732 	 -1.280669 	 0.316405 	 0.333595 
-5.312877 	 146.583527 	 -1.287608 	 -5.056354 	 146.660113 	 -1.280669 	 0.328231 	 0.346769 
-5.304634 	 146.556581 	 -1.283334 	 -5.048293 	 146.633112 	 -1.280669 	 0.340543 	 0.359457 
-5.292129 	 146.525373 	 -1.282861 	 -5.038714 	 146.601030 	 -1.280669 	 0.352834 	 0.372166 
-5.285714 	 146.484249 	 -1.282522 	 -5.026917 	 146.561513 	 -1.280669 	 0.364802 	 0.385198 
-5.276339 	 146.454097 	 -1.275261 	 -5.017884 	 146.531259 	 -1.280669 	 0.377258 	 0.397742 
-5.264315 	 146.416494 	 -1.273527 	 -5.006593 	 146.493438 	 -1.280669 	 0.389527 	 0.410473 
-5.253524 	 146.378929 	 -1.267659 	 -4.995412 	 146.455989 	 -1.280669 	 0.401925 	 0.423075 
-5.232649 	 146.344848 	 -1.265790 	 -4.984361 	 146.418974 	 -1.280669 	 0.414620 	 0.435380 
-5.230709 	 146.304465 	 -1.268334 	 -4.973133 	 146.381365 	 -1.280669 	 0.426279 	 0.448721 
